	address	akadaly	allapot	berleti_jog_atadas	busz	butorozott	city	city_latitude	city_longitude	contract	district	dohanyzas	ejszakai-busz	energia	epites_eve	futes	futes_elso	futes_masodik	id	kilatas	kisallat	koltozheto	komfort	kondi	metro	min_berl_honapban	parkolas	parkolas_konstrukcio	parkolohely_ar	parkolohely_berles	pince	price_ft	real_estate_type	rezsi_ft	room	room_full	room_half	size_m2	stemmed_text	szintek	telek_m2	tetoter	text	troli	type	villamos	wc
89	Pest megye		újszerű	nem		részben bútorozott	Budaörs	47.4600185	18.9541818	kiado					1981-2000 között	gázkazán	gázkazán		https://ingatlan.com/budaors/kiado+haz/ikerhaz/pest+megye+budaors/25616912	panorámás	hozható	azonnal	duplakomfortos			12					van	550000	haz	0	4	4	0	220	budaörs zöldövezeti jó levegőjű rész csodálatos örökpanorámás parkosított telek igényesen teljes körűen felújított nappali 3 szobás duplakomfortos részben bútorozott hőszigetelt ikerház fél minőség és szép kedvelő család legalább 1 év kiadó a ház vadonatúj beépített szekrény és egy modern prémium kategóriás gép mosogatógép indukciós főzőlap elszívó elektromos sütő italhűtős hűtőszekrény mikro felszerelt konyha rendelkezik a földszint nagy és világos amerikai konyhás teraszos nappali egy kézmosó felszerelt wc t és egy nagy tároló talál a kényelmes belmagasságú tetőtér helyezkedik el a háló és fürdőszoba az egyik szoba elkülönített vendégszobaként is használható mivel az egyik fürdőszoba innen nyílik a alsó szint háztartási helyiség zuhanyzó kamra és egy 35 nm es helyiség talál ami konditeremnek is kiváló három havi kaució és az első bérleti díj megfizetés azonnal költözhető ez a frissen felújított kitűnő állapotú ház éljen közvetlenül a főváros közelség de mégis nyugodt idilli otthon	3	983.0	beépített			ikerház		külön és egyben is
90	11. kerület, Sasad	nem	felújított	nem		igen	Budapest	47.4983815	19.0404707	kiado	11. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/xi-ker/kiado+haz/csaladi-haz/budapest+11+kerulet/23107831	panorámás	nem hozható		luxus				önálló garázs	benne van az árban			nincs	1088675	haz	0	9	9	0	400	buda xi kerület nívós kertvárosi környezet sasad felső rész csendes utca jó közlekedés 820 m2 es saroktelek hosszú táv kiadó egy 400 m2 es 3 szintes két szint is kertkapcsolatos panorámás 9 szobás családi ház déli illetve dél nyugati fekvésű terasz 4 fürdőszoba szauna kültéri medence 3 állásos garázs az utcaszint található a 85 m2 es garázs a ház előtt több beállási lehetőség is van a további három egyenként 110 m2 es lakószint az alsó és a középső szint külön bejárat és kertkapcsolatos terasz van földszint nagy kertkapcsolatos nappali terasz 2 szoba 2 gardrób fürdőszoba szauna előtér közlekedő kazánház középső szint tágas nappali konyha étkező dolgozószoba vendég wc gardrób szoba nagy terasz kertkapcsolattal emelet nappali 3 hálószoba 2 fürdőszoba külön wc 2 erkély közlekedő mosókonyha mosó és szárítógéppel a 2000 ben épült frissen felújított modern családi ház gyönyörű gondozott kert veszik vesz körül amely fűthető medence 3x7 5x1 5m és grillezőhely is kialakítás került a fűtés gáz cirkó illetve padlófűtés biztosít továbbá légkondicionáló berendezés rádiós riasztó felszerelt telefonközpont is szolgál a kényelem minden fogyasztás külön mérhető tágas tér sok beépített bútor az ingatlan azonnal birtok vehető minimális bérleti idő 1 év két havi kaució szükséges bevásárlási lehetőség szolgáltatás iskola stb a közelben	3	820.0	nem beépíthető			családi ház		
91	2. kerület, Zöldmál		jó állapotú	nem		megegyezés szerint	Budapest	47.4983815	19.0404707	kiado	2. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet/25951316	kertre néző		azonnal	duplakomfortos			12	önálló garázs	benne van az árban				465000	haz	0	6	6	0	215	kiemelt zöldövezet kiadó belső kétszintes 215 nm es panorámás nagy teraszos napozó tetőterasz 6 szobás dupla komfortos cirkófűtéses jó állapotú ikerházfél földszint található dupla nappali kandalló kádas fürdő toalett vendég toalett szeparált gépesített konyha kamra külön étkező mely egy kényelmes 18 nm es fedett terasz kapcsolódik kapcsolód ami tavasz ősz egy külön élettér biztosít az ott lakó felső szint kapott hely 4 hálószoba zuhanyzós kádas fürdő szeparált toalett napozó terasz mely a tágas közlekedőből közelíthető meg az ingatlan antik és koloniál bútorok berendezett igény eset részben bútoroz vagy üresen is kiadó tartozik hozzá egy gépkocsi rész garázs valamint 4 parkoló a ház előtt infrastruktúra közlekedés kitűnő rózsadomb center karnyújtásnyi található bérleti díj 1500 eur hó rezsi két havi kaució szükséges		800.0				ikerház		külön és egyben is
92	2. kerület, II/A kerület – Remetekertváros		jó állapotú	nem		nem	Budapest	47.4983815	19.0404707	kiado	2. kerület	megengedett				gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/21932141	panorámás			duplakomfortos	van			udvari beálló	benne van az árban				630000	haz	0	7 + 1 fél	7	1	260	ingatlan helyszín az ingatlan buda a ii kerület külső rész családi házas csendes övezet épült remetekertváros patinás városrész jól megközelíthető de nyugodt környék infrastruktúra jól ellátott gépkocsi 10km en belül pár perc alatt elérhet budakeszi solymár bevásárló és szórakozási kirándulási lehetőség kínáló hely de hely marad sem maradu választék nélkül a széphalom bevásárló központ és a stop shopnak köszönhetően a tömegközlekedés használó több buszjárat segít közel a két körjárat 57 es 257 es érhető el a hűvösvölgyi végállomás mind a széll kálmán tér mind a móricz zs. körtér de akár óbuda központ is gyorsan átszállás nélkül elérhető éjszakai járat 956 os akár a belváros is egyenesen hazatérhet a környék sok a kirándulóhely ami akár a gyermekvasúttal is meglátogathatunk igazi élmény ezen a környék él épület jellemzői az 1139nm nagyságú telek két utca köt össze alsó rész egy kis és régebbi építésű ház áll míg a felső rész épült 1995 ben ez a kialakítás igen egyedi és praktikus ház három kényelmes és tágas lakószintje igen sokféle hasznosítható a két ház közötti kertrész a felső eladás kínált ház tartozik használat lakás jellemzői a ház megépülés óta kiadás út volt hasznosít így bebizonyít hogy minimális átalakítás bármely igény ki tud elégít miután főleg cég használ igen komoly számítógépes hálózati lehetőség került kialakítás több alkalom is egészségügyi cél került használat ezért valamennyi szoba tartozik fürdőszoba igaz az egyik a sarokkád miatt van wc az egészségügyi tevékenység antsz engedély is rendelkezik a ház jelenlegi beosztás igen jól alakítható akár három önálló lakás is leválasztható eb az eset az alsó külön bejárat rendelkezik a kert míg a felső kettő kényelmes közös előszoba lesz a ház belép egy nagy fogadótérbe érkéz itt kaphat hely az előszoba céges használat eset a recepció és a váró ez tekintett került itt is kialakítás egy kis konyharész mosogató innen közvetlenül egy szoba nyílik a szint másik három szoba és a félszoba egy kis közlekedőből megközelíthető természetesen mindegyik fürdőszobás a nagy és a ő_mellett lévő léphét a terasz amely akár a kert is lesétálhatunk a lépcső a felső szint felérik felér az előtér érik ér amely közvetlen is nyílik egy fürdőszobás szoba mely praktikus tároló is kialakítás kerül az egyik rejt egy komoly szerverszoba lehetőség illetve kapcsolódik kapcsolód hozzá egy kis erkély a közlekedő felé továbbhalad az előtér egy nagy fürdő tágas étkező konyha nappali hálószoba rendelkező lakrész fog mi ez volt a magánlakás az iroda felett a nappali itt is egy kényelmesen használható méretű terasz kapcsolódik kapcsolód ha a földszinti rész a ház alsó szint felé megy ott egy önálló egyszobás garzonlakás van jelenleg mely a kert is van bejárat a ház többi rész elzárható itt korábban öltöző személyzet rész konyha étkező fürdő pihenő volt ezen a szint kapott hely a kazánház és tároló mely kívülről megközelíthető ház méret a hasznos lakóterület a ház 300nm ami nagyobbít a három terasz összesen 32nm rel valamint a kazánház a földszinti rész 125 2nm az emelet 130 6nm len a kislakás 43nm belmagasság 2 75m műszaki felszereltség a fűtés cirkókazán biztosít a meleg víz együtt egy 200 literes víztároló maga a kazán egy év került cser a ház minden közmű egyedileg mért kiépített a számítógépes rendszer a riasztó kaputelefon az emelet légkondicionált parkolás a parkolás a ház előtti közterület van kényelmes ingyenes és biztonságos lehetőség ahol négy autó rész kövezett kocsibeálló is kialakítás került a telek belül két autó helyezhető el fedett beállón bérlet feltétel a ház két felső szint kiadó 630 000 forint bérleti díj rezsi mellett amennyiben igény eset az alsó résezel együtt kerül kiadás a teljes ház abban az eset a bérleti díj magas összeg kerül meghatározás a bérbevételhez két havi kaució szükséges kiadó akár céges akár magán akár vegyes használat az ingatlan cica tartható illetve megengedett a dohányzás a minimális bérleti idő egy év bérleti díj 630 000 forint rezsi két havi kaució amennyiben tetszett a hirdetés és megnéz még néhány hasonló ingatlan tekint meg a lotus house további kínálat és válogat közel 1000 budai ingatlan közül	3	500.0				családi ház		külön és egyben is
93	Fém utca	nem	újszerű	nem	140a,40,40b,88,140,142,240,88b	nem	Budaörs	47.4600185	18.9541818	kiado			940,972,972b	B		gáz (cirko)	gáz (cirko)		https://ingatlan.com/budaors/kiado+haz/ikerhaz/pest+megye+budaors+fem+utca/25235562	kertre néző		azonnal	luxus	van			önálló garázs	benne van az árban			nincs	626400	haz	0	6	6	0	220	azonnal költözhető kiadó budaörs budapest xi kerület határvonal 200 méter egy igazán különleges kitűnő stílusérzék megtervezett teljesen szeparált ikerház fél gyönyörű gondozott intim kert hangulatos kerti világítás tágas napfényes terasz a 2001 ben épített 2006 ban és 2008 ban átépített és azóta is folyamatosan és igényesen karbantartott épület sok extra felszerelt a ház belváros szív 8 km re fekszik az m1 m7 es autópálya autó 3 perc de a ház város keresztül is kiválóan megközelíthető az épület nettó 220 nm es terasz nélkül három szint áll földszint emelet tetőtér minden helyiség riasztós távfelügyelet védett földszint lakótér 86 nm kandallós étkező terasz és kert kapcsolat nappali konyha tároló wc kazánház közlekedő garázs 2 autó 34 nm emelet lakótér 100 nm 2 gyerekszoba 1 napozó terasz 17 nm 1 hall erkélykapcsolattal 1 fürdőszoba zuhanyzó szauna 1 fürdőszoba fürdőkád 1 hálószoba tetőtér 26 4 nm 1 vendégszoba tároló 1 dolgozószoba kocsi beálló 2 autó és a szerszám fa kerti tároló kisház a ház extra valamennyi ablak szúnyogháló a földszint tàvműködtetésű alumínium zsalugáter minden szint klímaberendezés az étkező mennyezet épített hangfal automata kerti öntözőrendszer minőségi alapanyag minőségi kivitelezés az ingatlan bútorozatlan bérleti díj 2000 euró hó számla rezsiköltség kaució 2 havi bérleti díj megfelelő összeg	2	530.0	beépített			ikerház		külön és egyben is
94	Kertváros	nem	jó állapotú	nem		igen	Budaörs	47.4600185	18.9541818	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/budaors-kertvaros/kiado+haz/csaladi-haz/pest+megye+budaors/24846768	kertre néző	hozható		duplakomfortos				önálló garázs	benne van az árban			nincs	400000	haz	0	7 + 1 fél	7	1	310	budaörs kertvárosi rész egy 310m2 es 7 1 fél szobás dupla konyha valamint három fürdőszoba rendelkező bútorozatlan családi ház hosszútáv kiadó az ingatlan jó beosztású kertkapcsolatos átriumos nappali rendelkezik a szoba tágas és világos műanyag nyílászáró felszerelt a nappali hangulat egy kandalló teszi kellemes méret és elrendezés tekintve alkalmas egy külön bejáratú iroda cégközpont működtetés jelenleg a földszint és az emelet iroda van kialakít a tetőtér pedig egy komplett lakás a földszint található egy autó rész alkalmas garázs valamint az udvar további autó beálló kaució 2 havi díj megfelelő összeg az ingatlan 2010 ben teljes műszaki és esztétikai felújítás esett át a kert gondozott az épület folyamatosan karbantartott amennyiben felkeltet felkelt érdeklődés keres bizalom	3	432.0	beépített			családi ház		
95	2. kerület, II/A kerület – Széphalom		felújított	nem		nem	Budapest	47.4983815	19.0404707	kiado	2. kerület								https://ingatlan.com/ii-ker/kiado+haz/csaladi-haz/budapest+2+kerulet/21310001				luxus	van			önálló garázs	benne van az árban				1033560	haz	0	5 + 1 fél	5	1	340	340 nm kétszintes önálló családi ház kiadó a ii kerület külső rész csendes zöld lakóövezet 50 nm nappali 4 háló dolgozószoba 3 fürdőszoba felszerelt amerikai konyha 120 nm terasz szauna gyermekbarát sík kert padlófűtés mosókonyha tároló 3 garázshely biztosít a lakó kényelem kényelme id 81	2	936.0				családi ház		külön és egyben is
96	12. kerület, Mártonhegy	nem	felújított	nem		nem	Budapest	47.4983815	19.0404707	kiado	12. kerület	nem megengedett				gáz (cirko)	gáz (cirko)		https://ingatlan.com/xii-ker/kiado+haz/ikerhaz/budapest+12+kerulet/23408397	kertre néző	hozható		duplakomfortos	nincs			önálló garázs	benne van az árban			van	1002240	haz	0	6	6	0	350	ingatlan helyszín az ingatlan buda a xii kerület a mártonhegyen található a 110 es és a 112 es busz megállói 500 méter belül található így a város tömegközlekedési vérkeringés könnyedén be tud kapcsolódik kapcsolód a mindennapi bevásárlás a közelben lévő kis bolt kínál lehetőség a mom park és a hegyvidéki bevásárlóközpont könnyen megközelíthető ahol bevásárlás és sportolás is lehetőség van a közelben óvoda iskola játszótér is megtalálható épület jellemzői a téglaépítésű sátortetős ikerház 1996 ban épült majd 2014 ben teljes felújítás esett át a 3 szintes panorámás 350 nm es ikerház fél 1583 nm közös kert található ami ketté van választ a földszint található a tágas nappali teraszkapcsolattal és étkezős konyha a következő szint a szülői hálószoba a hozzátartozó fürdőszoba és gardróbbal valamint egy 40 nm es nappali hálószoba vagy dolgozó alkalmas helyiség kapott hely a legfelső szint 3 hálószoba és 2 fürdő található a szoba keményfa parketta a közlekedőben és a konyha márványburkolat a medence szint és a fürdő járólap és csempe található a ház működik szauna és medence is van bútorozatlanul kiadó hosszútáv ház méret telek méret 1583 nm ikerház fél 350nm belmagasság 2 7 m műszaki felszereltség a fűtés és a meleg víz gázcirkó biztosít vízóra van felszerel költség minden költség egyedi mérőóra alap fizetendő tároló a ház van gardrób és sok hely a tárolás parkolás a ház alatti garázs két autó van beállási lehetőség bérlet feltétel az ingatlan hosszútáv minimum egy év kiadó dohányzás nem megengedett kisállat hozható beköltözés fizetendő 1 havi bérleti díj és kéthavi kaució bérleti díj 3200 euro rezsi hó amennyiben tetszett a hirdetés és megnéz még néhány hasonló ingatlan tekint meg a lotus house további kínálat és válogat közel 1000 budai ingatlan közül	4	800.0	beépített			ikerház		külön és egyben is
97	2. kerület, Turista út			nem	65,65a	nem	Budapest	47.4983815	19.0404707	kiado	2. kerület					gázkazán, padlófűtés	gázkazán	padlófűtés	https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet+turista+ut/24903778	kertre néző		azonnal	luxus	van		12	önálló garázs	benne van az árban			van	532440	haz	0	6	6	0	300	pálvölgyi zöldövezet csendes utca hosszú táv kiadó 3 lakószintes ikerház bejárati szint tágas világos terasz és kertkapcsolatos nappali padlófűtés félig szeparált konyha és étkező egy vendégszoba vagy dolgozó valamint vendégmosdó található emelet 3 hálószoba és kádas fürdőszoba kapott hely az egyik hálószoba kert néző erkélyes 2 hálószoba parkettás 1 pedig padlószőnyeges tetőtér szint egy teraszos hálószoba és kádas fürdőszoba helyezkedik el bútor nélkül gépesít alagsor fedett medence szauna fitness szoba zuhanyzó tároló mosókonyha és gépház található minden szint szennyesledobó cső udvar különálló épület 2 beállós garázs gyönyörű parkosított kert angol iskola a közelben széll kálmán tér 15 perc 2 havi kaució szükséges	3	500.0	beépített			ikerház		külön és egyben is
98	12. kerület, Virányos		felújított	nem			Budapest	47.4983815	19.0404707	kiado	12. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/xii-ker/kiado+haz/csaladi-haz/budapest+12+kerulet/23392348	kertre néző			duplakomfortos	van			önálló garázs	benne van az árban				2349000	haz	0	8	8	0	479	frissen stílusosan felújított villaépület kiadó zugliget 2692 m2 es parkosított telek 1927 ben épült 3 szintes 479 m2 es 8 szobás neobarokk reprezentatív villaépület kiadó a klimatizált riasztó felszerelt impozáns épület tágas belsõ tér jellemez alagsor helyiség gépesített konyha fitness terem szauna háztartási helyiség személyzeti vagy vendég lakrész szoba fürdõszobák kazán földszint helyiség elõtér szalon nappali ebédlõ 2 wc tálalókonyha terasz emelet helyiség 3 hálószoba és 3 fürdõszoba tv könyvtárszoba gardrób 2017 július a homlokzati nyílászáró teljes körû csere cseréj valamint a fûtési rendszer korszerûsítése is megtörténik parkolás kétállásos garázs a villaépület mögött kerti pavilon található mely kerti esemény fogadásár is kiválóan alkalmas az ingatlan rezidencia cégképviselet is kiválóan alkalmas bérleti díj 7 500 eur hó áfa http www immocity hu		2692.0				családi ház		külön és egyben is
99	11. kerület, Sasad		újszerű	nem			Budapest	47.4983815	19.0404707	kiado	11. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/xi-ker/kiado+haz/csaladi-haz/budapest+11+kerulet/23833060	panorámás		azonnal	luxus	van		12	önálló garázs	benne van az árban			van	1096200	haz	0	10	10	0	500	xi kerület sasad szép utca az utca mindkét oldal fasor ahol a fa korona összeérik összeér angol gyarmati stílus épült vörös téglás minden extra nagy polgári villa kiadó a ház márványburkolatú nagy nappali 4 háló 6 fürdőszoba belső uszoda szauna légkondicionálás kandalló fűtött garázsleálló garázs két kocsi intim és sík hátsó kert automata locsoló alagsor egy berendezett személyzeti vagy vendég lakás nagy gardrób vagy vendégszoba és egy tornaterem belső uszoda szauna és dupla garázs a vendég lakás világos délután még a nap is besüt földszint nagy márványburkolatú kandallós nappali két terasz az első terasz déli tájolású napos a hátsó terasz intim és árnyékos a földszint van még egy szoba ami lehet dolgozó szoba vagy lehet hálószoba is mert a földszint van fürdőszoba is a konyha zárt de van egy átadó ablak az étkező felé az emelet van 3 hálószoba és két fürdőszoba a szülői lakosztály egy extra ajtó is le van választ a szülői hálószoba van nagy dupla mélységű gardrób van erkély és elegáns komplett fürdőszoba a tetőtér egy egy 90m2 nagyságú helyiség saját fürdőszoba lehet egy nagy gyerek saját lakosztály vagy bármi más	3	747.0	beépített			családi ház		külön és egyben is
100	2. kerület, Tópart utca		újszerű	nem		igen	Budapest	47.4983815	19.0404707	kiado	2. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet+topart+utca/25373362	panorámás			duplakomfortos	van		12	teremgarázs hely	benne van az árban				783000	haz	0	4 + 1 fél	4	1	220	2007 ben épült 2 lakószintes igényesen kialakított légkondicionált ikerház 40 nm es amerikai konyhás kandallós nappali 3 fürdőszoba szauna tároló saját kert és egy dupla garázs a ház új modern bútorok berendezett bérleti időszak min 1 év az ár számla értendő		600.0				ikerház		
101	Malonyai utca		újszerű	nem			Halásztelek	47.363105	18.9811444	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/halasztelek/kiado+haz/csaladi-haz/pest+megye+halasztelek+malonyai+utca/23309911													250000	haz	0	1 + 3 fél	1	3	150	kiadó halásztelek jó rész új építésű ház környezetében egy gyönyörű önálló családi ház a ház 2002 ben építet épít egy hatalmas 920nm es tél ahol hely kapott egy kerti sütögetés alkalmas rész a locsolás automata öntözőrendszer és fúrtkút gondoskodik az ingatlan kialakítás került egy hatalmas napfényes nappali klíma kandalló és egy 15nm es terasz a konyha minőségi bútorok és gép felszerelt a három hálószoba kívül egy gardrób is kialakítás került a fürdőszoba pedig kád és zuhanyzó is található a padlófűtés cirkó biztosít de ha kedv tart a vízteres kandalló is rásegíthetünk a melegvíz ellátás gázbojler felelős közlekedés kiváló a közelben található több bevásárlási lehetőség spar aldi iskola óvoda m0 s autópálya	földszintes	920.0				családi ház		
102	2. kerület, Rózsadomb		felújított	nem		részben bútorozott	Budapest	47.4983815	19.0404707	kiado	2. kerület					gáz (cirko)	gáz (cirko)		https://ingatlan.com/ii-ker/kiado+haz/sorhaz/budapest+2+kerulet/25964011	kertre néző			duplakomfortos			12						470000	haz	60000	4	4	0	135	kiadó a rózsadomb 135 m2 dupla komfortos lakás kertkapcsolattal autó beállásra van lehetőség a lakás érv az előszoba érkéz még ezen a szint talál a terasz és kertkapcsolatos nappali konyha wc t az emelet van 2 hálószoba és egy fürdőszoba a szuterén szint ami egy esik a kert található egy szoba fürdőszoba speiz mosó szoba és egy terasz rész is ami kertkapcsolatos egy autó kerítés belüli beállási lehetőség van viszont ingyenes az utcai parkolás helység nappali konyha 2 fürdő 1 külön wc 3 háló világos lakás kiváló nagycsaládos számára teljesen felszerelt mosógép szatító mosogatógép hűtő részben bútorozott lakás hosszútáv kiadó 5 perc található a rózsadombi bevásárló központ az ingatlan 1500 euróért rezsiköltség 2 havi kaució kiadó minimum egy év hív bizalom akár hétvég is for rent a 135m2 flat on the rózsadomb very near to the rózsadomb shopping center the falt has 3 badrooms 2 bathrooms a separet toilet big leaving room with a balcony also there is a room for the washing machine and storage room not fully but furnised the flat has a garden what is great opportunity for kids a car can park inside the gate but not in a garage also there is free parking on the street sopping center is 5 minutes on foots the rental fee is 1500 euro common fees electric gas water internet 2 monthes deposit fee what is 3000euro minimum rent for 1 year please make a call if you would like to check the apartment thank you	2	110.0				sorház		
103	Nagybácsa		újszerű	nem		nem	Győr	47.687609	17.6346815	kiado						gáz (cirko)	gáz (cirko)		https://ingatlan.com/gyor-nagybacsa/kiado+haz/csaladi-haz/gyor-moson-sopron+megye+gyor/25978941		hozható	2018 április	összkomfortos			24						200000	haz	35000	3 + 1 fél	3	1	100	nagybácsán az ergényi lakótelep igényes újszerű 3 szoba nappalis padlófűtéses kandallós gépesített konyhás családi ház különálló garázs kiadó a ház hőszigetelt ezáltal a fűtési költség nagyon kedvező tél melegvízzel együtt kb 25 ezer ft a 2 fürdőszoba egyik közvetlenül hálószoba nyílik a nappali elektromos napellenzővel felszerelt terasz kapcsolódik kapcsolód az ablak hőszigetelt redőny és szúnyogháló ellátott kisállat hozható minimális bérlési idő 2 év közelben bolt buszmegálló iskola óvoda orvosi rendelő gyógyszertár található	földszintes	700.0				családi ház		
104	Pest megye	igen	újszerű	nem		nem	Budaörs	47.4600185	18.9541818	kiado		nem megengedett			2017	hőszivattyú	hőszivattyú		https://ingatlan.com/budaors/kiado+haz/ikerhaz/pest+megye+budaors/24949500		hozható		duplakomfortos	van			udvari beálló	benne van az árban				350000	haz	0	4	4	0	125	budaörs kertvárosi rész közel a közlekedés újépítésű nappali 3 szobás duplakomfortos alacsony rezsijű ikerház fél kiadó földszint teraszkapcsolatos nappali étkező gépesített konyha és fürdőszoba található az emelet pedig három szoba és egy fürdőszoba került kialakítás kizárólagos használatú kert kocsi beálló két autó számára kéthavi kaució szükséges	2	350.0				ikerház		
105	2. kerület, Pálvölgy		felújított	nem		nem	Budapest	47.4983815	19.0404707	kiado	2. kerület								https://ingatlan.com/ii-ker/kiado+haz/ikerhaz/budapest+2+kerulet/22586173				luxus	van			önálló garázs	benne van az árban				563760	haz	0	5	5	0	210	nemzetközi iskola közel bérbeadó egy 251 nm es háromszintes ikerház alagsor 2 szoba fürdőszoba tároló földszint nappali terasz hálószoba fürdőszoba felszerelt zárt konyha étkező terasz és kertkapcsolattal emelet 3 hálószoba fürdőszoba kert riasztó a c garázs 2 autó rész	3	400.0				ikerház		
106	Berda József utca		újszerű	nem		megegyezés szerint	Fót	47.6125871	19.1980105	kiado						gáz (cirko), cserépkályha	gáz (cirko)	cserépkályha	https://ingatlan.com/fot/kiado+haz/csaladi-haz/pest+megye+fot+berda+jozsef+utca/25363517	kertre néző		azonnal	luxus	van		12	udvari beálló	benne van az árban			nincs	500000	haz	70000	6	6	0	280	kivételes ritkaság páratlan lehetőség exkluzív környezet akár több generáció számára biztosan ön is álmodott már az hogy egy vár úr vagy úrnő lehet most beteljesíthet álom fót központ luxus családi ház kiadó a frissen felújított extravagáns megjelenésű vár alakú ház a szomszéd és kíváncsi szem távol a nevezetes károlyi templom mögött helyezkedik el az óváros csendes rész a földszint kapott helyett az impozáns cserépkályhás nappali amely eltol kapcsolódik kapcsolód a vidéki stílusú konyha 16 személy bővíthető étkező a fedett kertkapcsolatos terasz az étkező és a nappali is ki lehet jut a színes bohókás vendégfürdőben zuhany és wc is található ezen a szint kapott hely még két hálószoba egy közösségi helység amely akár második nappali vagy dolgozószoba is lehet de vendégszobaként is funkcionálhat a külön bejárat is rendelkező lakrész teakonyha és zuhanyzós wc vel is rendelkezik szeparálható a ház többi rész ezért akár két generáció rész is alkalmas ha a nagyszülő vagy a magány vágyó felnőtt gyerek akar mag mellett tud ez a ház a jó választás a légkondicionált emelet két hálószoba lett kialakít mindegyik hatalmas kilátás rendelkező terasz tartozik amely a kíváncsi tekintet elől menetes nem csak a frissen mosott ruha száríthat itt de napozhat úgy és ahogy kedv tart a fő hálószoba két külön bejáratú gardróbszoba tartozik így a női és férfi rész jól szeparálható de az egész család ruhatára képes elnyel minden hölgy álom itt talál a hatalmas fő fürdőszoba amely kétszemélyes fürdőkád külön zuhanyzó wc bidé és két különálló mosdó kapott helyett így a reggeli nagycsaládos készülődés sem okozhat gond a kazánház külön helység az emelet lett kialakít ahol mosógép szolgál az új lakó kényelem kényelme de szárítógép elhelyezés is van lehetőség a családbarát parkosított kert egy patak ölel körül a ház különleges adottság furfangos fényjáték emel ki amely kertipartikon tesz jó szolgálat a széles kocsibejáró számtalan autó parkolás van lehetőség egy autó fedett beállás is megoldott a ház frissen felújított ön lehet az első aki beköltözik itt minden készen áll ön csak a bőrönd kell hoz földszint 2 nappali étkező 2 konyha spájz 2 hálószoba 2 fürdőszoba előszoba terasz 2 bejár emelet 2 hálószoba 2 gardróbszoba tágas fürdőszoba kád zuhany bidé mosókonyha 2 nagy terasz a ház bútoroz vagy bútorozatlanul is kiadó kisállat külön megegyezés szerint hozható a környék nagyon jó a közlekedés buszmegálló a közelben kocsi 8 perc alatt a városliget lehet de a reggeli csúcs sem akadály mert számos útvonal vezet a főváros a nullás körgyűrű 4 perc alatt elérhető autó több útvonal pár perc séta található a főtér ahol éjjelnappali pékség tél korcsolyapálya ad szórakozás lehetőség két iskola és két óvoda van a szomszéd lovaglási lehetőség és túraútvonal csábít az itt lakó öt perc autóút montessori óvoda található a gyönyörű károlyi kastély park séta pár perc alatt elérhető ahol étterem tó játszótér focipálya sétaútvonal vár a friss levegő vágyó fót számos templom büszkélkedhet katolikus református és baptista felekezet mind sétányi vannak az ingatlan jó idő eset a fóti somlyó hegy kínál szépség akár túrázik túráz fut vagy bringáz szeret amely az utca vég kezdődik extra automata kapu automata öntözőberendezés parkosított kert automata kerti megvilágítás bútorozott vagy bútorozatlan gépesített konyha légkondicionáló riasztó 3 terasz parkolás a zárt udvar belül bérleti díj 1650 euro hó 500 000 ft hó rezsi tavasz ősz 30 000 ft kertész díj 2 havi kaució február 15 től beköltözhető az is megtekinthető egyeztetett időpont	2	600.0				családi ház		külön és egyben is
107	Sziget		új építésű	nem		nem	Győr	47.687609	17.6346815	kiado					2016	gáz (cirko)	gáz (cirko)		https://ingatlan.com/gyor-sziget/kiado+haz/ikerhaz/gyor-moson-sopron+megye+gyor/25729377	udvari		azonnal	összkomfortos				önálló garázs	benne van az árban				140000	haz	0	2	2	0	80	győr sziget a belváros és a rába folyó közeli rész teljesen új igényes 2 szintes családi ikerház kiadó a földszint közvetlenül utca nyíló elektromos kapunyitóval ellátott garázs helyezkedik el biztonsági kamera felszerel az alsó szint tágas nappali amerikai konyha és egy wc került kialakítás a felső szint 2 szoba fürdő wc és közlekedő a hátsó kiskert kialakított pihenőrész és grillező teszi hangulatos	2	300.0				ikerház		
